extreme,rank,metric_key,metric_label,codebase_id,codebase_name,programming_language,version_id,version_number,sample_number,metric_level,file_path,function_name,function_start_line,function_end_line,value
min,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap/bap_init_toplevel.mli,,,,0
min,2,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.ml,,,,0
min,3,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.mli,,,,0
min,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,plugins/beagle/beagle_main.mli,,,,0
min,5,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,plugins/cxxfilt/cxxfilt_main.mli,,,,0
max,1,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap/bap.mli,,,,9251
max,2,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/strings.ml,,,,4484
max,3,lines_of_code,Lines Of Code/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/uigtk2.ml,,,,4312
max,4,lines_of_code,Lines Of Code/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_core_theory/bap_core_theory.mli,,,,3215
max,5,lines_of_code,Lines Of Code/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,1f6ce7d6-c1f5-4741-b9d7-720340d1296d,5,5,file,ocaml/src/disassembly/core_x86.ml,,,,3073
min,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,254e980c-3a56-4027-98f0-4227ed4866aa,5,5,file,doc.go,,,,0
min,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap/bap_init_toplevel.mli,,,,0
min,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.ml,,,,0
min,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.mli,,,,0
min,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_language/bap_language.mli,,,,0
max,1,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/strings.ml,,,,4480
max,2,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/uigtk2.ml,,,,3525
max,3,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,9758bb80-9a74-4ba7-a4f1-9d730eab79d6,5,5,file,src/drive.ml,,,,2400
max,4,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,1f6ce7d6-c1f5-4741-b9d7-720340d1296d,5,5,file,ocaml/src/disassembly/core_x86.ml,,,,2384
max,5,effective_lines_of_code_with_brackets,Effective LOC With Brackets/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/knowledge/bap_knowledge.ml,,,,2118
min,1,effective_lines_of_code,Effective LOC/File,e8c37d0d-f999-4ab0-9696-770ba31bbe18,gin-gonic__gin (sample analysis: 10 samples),Golang,254e980c-3a56-4027-98f0-4227ed4866aa,5,5,file,doc.go,,,,0
min,2,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap/bap_init_toplevel.mli,,,,0
min,3,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.ml,,,,0
min,4,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_api/bap_api_attr.mli,,,,0
min,5,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_language/bap_language.mli,,,,0
max,1,effective_lines_of_code,Effective LOC/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/strings.ml,,,,4480
max,2,effective_lines_of_code,Effective LOC/File,729d4ded-b025-47be-ae9b-ed0561b8f9e6,bcpierce00__unison (sample analysis: 10 samples),Ocaml,ebd72262-10d0-4975-877c-e775f90f97c5,5,5,file,src/uigtk2.ml,,,,3525
max,3,effective_lines_of_code,Effective LOC/File,e9d92337-e257-41dd-9d58-bc6f84121654,astrada__google-drive-ocamlfuse (sample analysis: 10 samples),Ocaml,9758bb80-9a74-4ba7-a4f1-9d730eab79d6,5,5,file,src/drive.ml,,,,2380
max,4,effective_lines_of_code,Effective LOC/File,e749ce64-7ffd-4d8c-a44a-47ef93013510,airbus-seclab__bincat (sample analysis: 10 samples),Ocaml,1f6ce7d6-c1f5-4741-b9d7-720340d1296d,5,5,file,ocaml/src/disassembly/core_x86.ml,,,,2340
max,5,effective_lines_of_code,Effective LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/knowledge/bap_knowledge.ml,,,,2078
min,1,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,8fbff1ed-ea25-4665-b0d2-e29807c1d1de,5,5,file,cmd/common.go,,,,0
min,2,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,8fbff1ed-ea25-4665-b0d2-e29807c1d1de,5,5,file,cmd/flags/config.go,,,,0
min,3,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,8fbff1ed-ea25-4665-b0d2-e29807c1d1de,5,5,file,cmd/root.go,,,,0
min,4,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,8fbff1ed-ea25-4665-b0d2-e29807c1d1de,5,5,file,cmd/user.go,,,,0
min,5,comment_lines_of_code,Comment LOC/File,069ad96b-3762-4b18-b863-c8f40f8d0442,AlistGo__alist (sample analysis: 10 samples),Golang,8fbff1ed-ea25-4665-b0d2-e29807c1d1de,5,5,file,drivers/115/types.go,,,,0
max,1,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap/bap.mli,,,,5313
max,2,comment_lines_of_code,Comment LOC/File,a81fc79f-6ea8-409c-8690-f034ab9400d8,BinaryAnalysisPlatform__bap (sample analysis: 10 samples),Ocaml,e29426e0-5415-4dd3-a222-8d42b2fa69fe,5,5,file,lib/bap_core_theory/bap_core_theory.mli,,,,1962
